strategy,symbol,direction,opened_at,closed_at,entry_price,exit_price,qty,notional,stop_price,risk_amount,leverage,margin,fee,slippage_cost,funding,pnl,exit_reason,signal_reason,notes
trend,UB-USDT-SWAP,long,2026-09-20T12:00:00+00:00,2026-09-20T12:00:00+00:00,0.16698345,0.1498593186,5865.390134,979.4230802,0.1499342857,100,1,979.4230802,1.022123547,0.9291783468,0,-101.4618351,stop,"20 bar Donchian tepesi 0.15549, kapanış 0.1668 ile %7.27 üstünde; rejim yukarı (EMA50 0.134576 > EMA200 0.128996); stop 2×ATR(14)=0.0168657 uzakta (0.149934), trailing 1×ATR",
trend,HBAR-USDT-SWAP,long,2026-09-20T16:00:00+00:00,2026-09-20T20:00:00+00:00,0.086533245,0.085007475,18923.04153,1637.472189,0.08130285714,98.97484663,1,1637.472189,1.785339693,1.623029272,0,-30.65754877,stop,"20 bar Donchian tepesi 0.08384, kapanış 0.0865 ile %3.17 üstünde; rejim yukarı (EMA50 0.0779284 > EMA200 0.0759106); stop 2×ATR(14)=0.00519714 uzakta (0.0813029), trailing 1×ATR",exit_rule=trailing_atr
trend,LUNA-USDT-SWAP,long,2026-09-20T20:00:00+00:00,2026-09-21T00:00:00+00:00,0.055377675,0.055222375,22734.80776,1259.000795,0.05104714286,98.45381577,1,1259.000795,1.382958981,1.257234869,-0.06280490644,-4.976479533,stop,"20 bar Donchian tepesi 0.0492, kapanış 0.05542 ile %12.64 üstünde; rejim yukarı (EMA50 0.0467649 > EMA200 0.0459269); stop 2×ATR(14)=0.00437286 uzakta (0.0510471), trailing 1×ATR",exit_rule=trailing_atr
trend,AVAX-USDT-SWAP,long,2026-09-20T16:00:00+00:00,2026-09-21T04:00:00+00:00,11.4087015,11.15363468,87.96566516,1003.574016,10.28342857,98.98538165,1,1003.574016,1.091591,0.9923500936,-0.09948037073,-23.62819398,stop,"20 bar Donchian tepesi 10.82, kapanış 11.403 ile %5.39 üstünde; rejim yukarı (EMA50 8.3093 > EMA200 7.57809); stop 2×ATR(14)=1.11957 uzakta (10.2834), trailing 1×ATR",exit_rule=trailing_atr
trend,NEAR-USDT-SWAP,long,2026-09-20T20:00:00+00:00,2026-09-21T08:00:00+00:00,4.158078,4.236237964,219.9055625,914.3844816,3.710428571,98.4405994,1,914.3844816,1.015276226,0.9229829148,-0.1853583987,15.98717629,stop,"20 bar Donchian tepesi 3.919, kapanış 4.156 ile %6.05 üstünde; rejim yukarı (EMA50 3.07072 > EMA200 2.39609); stop 2×ATR(14)=0.445571 uzakta (3.71043), trailing 1×ATR",exit_rule=trailing_atr
trend,SNDK-USDT-SWAP,long,2026-09-21T04:00:00+00:00,2026-09-21T12:00:00+00:00,1802.40075,1807.288761,3.296656991,5941.897032,1772.385714,98.94927731,1,5941.897032,6.544949488,5.949959596,0.4692032404,10.03834844,stop,"20 bar Donchian tepesi 1799, kapanış 1801.4 ile %0.13 üstünde; rejim yukarı (EMA50 1685.37 > EMA200 1620.11); stop 2×ATR(14)=29.0143 uzakta (1772.39), trailing 1×ATR",exit_rule=trailing_atr
trend,SUI-USDT-SWAP,long,2026-09-21T04:00:00+00:00,2026-09-21T16:00:00+00:00,0.9496746,1.009673482,1265.874567,1202.168923,0.8715571429,98.88690224,1,1202.168923,1.364158898,1.24016375,-0.2511874903,74.33571257,stop,"20 bar Donchian tepesi 0.9202, kapanış 0.9493 ile %3.16 üstünde; rejim yukarı (EMA50 0.789485 > EMA200 0.75736); stop 2×ATR(14)=0.0777429 uzakta (0.871557), trailing 1×ATR",exit_rule=trailing_atr
trend,ADA-USDT-SWAP,long,2026-09-21T12:00:00+00:00,2026-09-21T16:00:00+00:00,0.24182085,0.2419004179,7166.688473,1733.054698,0.2279428571,99.45925144,1.372986089,1262.25219,1.906673799,1.733340393,-0.1754405338,-1.511876288,stop,"20 bar Donchian tepesi 0.2352, kapanış 0.2417 ile %2.76 üstünde; rejim yukarı (EMA50 0.216582 > EMA200 0.207196); stop 2×ATR(14)=0.0137571 uzakta (0.227943), trailing 1×ATR",boyut komisyon+marj nakde sığsın diye 0.9992 oranında kırpıldı | exit_rule=trailing_atr
trend,BNB-USDT-SWAP,long,2026-09-21T16:00:00+00:00,2026-09-22T00:00:00+00:00,803.0013,794.1241679,3.972110126,3189.609595,777.9,99.70512791,1,3189.609595,3.489177034,3.1719711,-0.3173715991,-39.06749511,stop,"20 bar Donchian tepesi 794, kapanış 802.6 ile %1.08 üstünde; rejim yukarı (EMA50 748.335 > EMA200 709.498); stop 2×ATR(14)=24.7 uzakta (777.9), trailing 1×ATR",exit_rule=trailing_atr
trend,BTC-USDT-SWAP,long,2026-09-21T20:00:00+00:00,2026-09-22T00:00:00+00:00,86494.92585,86261.0122,0.04645020637,4017.707156,84358.78571,99.22415015,1,4017.707156,4.413501936,4.012272774,-0.4022081565,-15.68104724,stop,"20 bar Donchian tepesi 86319.6, kapanış 86451.6 ile %0.15 üstünde; rejim yukarı (EMA50 79846.8 > EMA200 76617.8); stop 2×ATR(14)=2092.81 uzakta (84358.8), trailing 1×ATR",exit_rule=trailing_atr
