strategy,symbol,direction,opened_at,closed_at,entry_price,exit_price,qty,notional,stop_price,risk_amount,leverage,margin,fee,slippage_cost,funding,pnl,exit_reason,signal_reason,notes
scalp_fixed,BTC-USDT-SWAP,long,2026-09-20T17:15:00+00:00,2026-09-20T21:30:00+00:00,81240.6,80811.87385,0.08319319242,6758.664868,80038.57857,100,1,6758.664868,7.414914452,6.740824088,0,-43.08201154,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.175% < 0.200%; engel Bollinger(20) orta bandı 80730.4; stop 1.43% (80038.6), hedef 83522.5 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,BTC-USDT-SWAP,long,2026-09-20T22:45:00+00:00,2026-09-21T03:00:00+00:00,81126.1428,81256.85125,0.09573236878,7766.39782,80086.06429,99.56917988,1,7766.39782,8.549919768,7.772659406,-0.719179092,3.243930677,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.143% < 0.200%; engel Bollinger(20) orta bandı 81066.7; stop 1.23% (80086.1), hedef 83084.7 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,BTC-USDT-SWAP,short,2026-09-21T03:15:00+00:00,2026-09-21T07:30:00+00:00,81259.05015,81624.5919,0.05503612513,4472.183252,83068.8,99.60161919,1,4472.183252,4.930466478,4.482238343,0,-25.04846797,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.199% < 0.200%; engel Bollinger(20) orta bandı 81345; stop 2.18% (83068.8), hedef 77761.8 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,BNB-USDT-SWAP,short,2026-09-21T08:15:00+00:00,2026-09-21T09:30:00+00:00,770.11475,786.7855536,6.412897958,4938.667307,785.6071429,99.35113451,1,4938.667307,5.491333527,10.0275966,0,-112.3994957,stop,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.115% < 0.200%; engel Bollinger(20) orta bandı 772.67; stop 1.96% (785.607), hedef 740.286 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",
scalp_fixed,AVAX-USDT-SWAP,short,2026-09-21T08:30:00+00:00,2026-09-21T12:45:00+00:00,11.092451,11.42571,141.6372875,1571.104671,11.79185714,99.06198893,1,1571.104671,1.754176184,1.59469422,0,-48.95607698,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.050% < 0.200%; engel Bollinger(20) orta bandı 11.2175; stop 6.24% (11.7919), hedef 9.71329 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,AVAX-USDT-SWAP,short,2026-09-22T01:45:00+00:00,2026-09-22T03:15:00+00:00,11.11444,11.153574,265.9295321,2955.657828,11.481,97.47912928,1,2955.657828,3.256947399,2.96085941,0,-13.66383371,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.043% < 0.200%; engel Bollinger(20) orta bandı 11.2017; stop 3.24% (11.481), hedef 10.401 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,AVAX-USDT-SWAP,long,2026-09-21T23:00:00+00:00,2026-09-22T03:30:00+00:00,11.2446195,11.1434255,195.9041036,2202.867103,10.74571429,97.73757878,1,2202.867103,2.412250438,2.192950536,-0.2199023563,-22.45647265,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.143% < 0.200%; engel Bollinger(20) orta bandı 11.1013; stop 4.40% (10.7457), hedef 12.2286 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,NEAR-USDT-SWAP,long,2026-09-22T02:45:00+00:00,2026-09-22T07:00:00+00:00,4.534266,4.3088445,225.9356145,1024.452175,4.103142857,97.40607222,1,1024.452175,1.098885483,0.9989743197,0,-52.02963061,signal,"Açılış aralığı kırılımı: ilk 4 bar [4.202, 4.358], kapanış 4.531 üstte (7. bar); hacim 189610 ≥ 1.5× SMA20(82248.7); engel ölçülü hareket 4.514 (aralık genişliği 0.156); stop 9.44% (4.10314), hedef 5.38671 (2.00R), zaman stop'u 16 bar | arm=opening_range_breakout | post_r=nan",exit_rule=time_stop
scalp_fixed,DOGE-USDT-SWAP,long,2026-09-22T04:15:00+00:00,2026-09-22T08:30:00+00:00,0.10483239,0.098120915,12398.50628,1299.765046,0.09701928571,96.87082254,1,1299.765046,1.383974804,1.258138425,-0.1225468361,-84.71878656,signal,"Açılış aralığı kırılımı: ilk 4 bar [0.09915, 0.10169], kapanış 0.10478 üstte (13. bar); hacim 619979 ≥ 1.5× SMA20(128602); engel ölçülü hareket 0.10423 (aralık genişliği 0.00254); stop 7.41% (0.0970193), hedef 0.120301 (2.00R), zaman stop'u 16 bar | arm=opening_range_breakout | post_r=nan",exit_rule=time_stop
scalp_fixed,AVAX-USDT-SWAP,short,2026-09-22T04:45:00+00:00,2026-09-22T09:00:00+00:00,10.902546,10.889442,228.2090998,2488.060208,11.3255,96.52195158,1,2488.060208,2.73522148,2.486566351,0.2448455431,0.5000761065,signal,"Açılış aralığı kırılımı: ilk 4 bar [11.106, 11.234], kapanış 10.908 altta (15. bar); hacim 99948.4 ≥ 1.5× SMA20(61782.5); engel ölçülü hareket 10.978 (aralık genişliği 0.128); stop 3.83% (11.3255), hedef 10.073 (2.00R), zaman stop'u 16 bar | arm=opening_range_breakout | post_r=nan",exit_rule=time_stop
scalp_fixed,XRP-USDT-SWAP,long,2026-09-22T07:45:00+00:00,2026-09-22T10:15:00+00:00,1.5171582,1.52673625,2095.469144,3179.158195,1.471157143,96.39379585,3.273306826,971.2374562,3.508112794,3.189199264,-0.3181550802,16.24424036,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.153% < 0.200%; engel Bollinger(20) orta bandı 1.51584; stop 2.98% (1.47116), hedef 1.60659 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9982 oranında kırpıldı | exit_rule=time_stop
scalp_fixed,XRP-USDT-SWAP,short,2026-09-22T06:00:00+00:00,2026-09-22T10:30:00+00:00,1.5128432,1.5263628,1934.325096,2926.330568,1.562957143,96.93665733,1,2926.330568,3.233346841,2.939400416,0.2936885793,-29.09095983,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.140% < 0.200%; engel Bollinger(20) orta bandı 1.51473; stop 3.26% (1.56296), hedef 1.41489 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,BTC-USDT-SWAP,long,2026-09-22T09:30:00+00:00,2026-09-22T11:00:00+00:00,85912.1346,85831.2629,0.06758191298,5806.106404,84500.38571,95.40869034,1.567847039,3703.235238,6.383711039,5.803373757,0,-11.84917523,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.005% < 0.200%; engel Bollinger(20) orta bandı 85496.8; stop 1.59% (84500.4), hedef 88606.5 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9991 oranında kırpıldı | exit_rule=time_stop
scalp_fixed,BTC-USDT-SWAP,short,2026-09-22T06:45:00+00:00,2026-09-22T11:15:00+00:00,85415.4709,85990.1736,0.08943800779,7639.389552,86493.41429,96.40910893,3.837786722,1990.571677,8.431598653,7.66507875,0.7632165564,-59.06864666,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.094% < 0.200%; engel Bollinger(20) orta bandı 85508.4; stop 1.21% (86493.4), hedef 83387.8 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9979 oranında kırpıldı | exit_rule=time_stop
scalp_fixed,LINK-USDT-SWAP,short,2026-09-22T11:15:00+00:00,2026-09-22T15:30:00+00:00,12.9105415,13.038516,228.5371697,2950.538614,13.327,95.1762469,1,2950.538614,3.261678287,2.965155509,0,-32.50860831,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.181% < 0.200%; engel Bollinger(20) orta bandı 12.9207; stop 3.17% (13.327), hedef 12.097 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,ETH-USDT-SWAP,long,2026-09-22T11:30:00+00:00,2026-09-22T15:45:00+00:00,2739.82923,2747.66548,1.669389292,4573.841579,2682.839286,95.13840275,1,4573.841579,5.0384207,4.58038687,0,8.04333114,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.044% < 0.200%; engel Bollinger(20) orta bandı 2736.49; stop 2.03% (2682.84), hedef 2849.67 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,BTC-USDT-SWAP,long,2026-09-22T12:15:00+00:00,2026-09-22T16:30:00+00:00,85926.942,86000.47825,0.07083781353,6086.876694,84585.63571,95.01520455,3.065265635,1985.758306,6.698429395,6.089484093,-0.3328937519,-1.822175982,signal,"RSI(2) aşırılık dönüşü: RSI=0.00 (≤ 5); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.116% < 0.200%; engel Bollinger(20) orta bandı 85814.7; stop 1.51% (84585.6), hedef 88481 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9983 oranında kırpıldı | exit_rule=time_stop
scalp_fixed,LINK-USDT-SWAP,short,2026-09-22T16:45:00+00:00,2026-09-22T21:00:00+00:00,12.957518,12.9594765,161.7169242,2095.449956,13.54442857,94.91337237,1,2095.449956,2.305169149,2.095608762,0,-2.621891745,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.046% < 0.200%; engel Bollinger(20) orta bandı 12.9833; stop 4.49% (13.5444), hedef 11.8001 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
scalp_fixed,AVAX-USDT-SWAP,short,2026-09-22T21:00:00+00:00,2026-09-22T23:00:00+00:00,11.0074935,11.37260479,273.6817963,3012.550594,11.35557143,95.26259274,1.439810988,2092.323659,3.368764025,6.168748591,0,-103.2930765,stop,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.122% < 0.200%; engel Bollinger(20) orta bandı 11.0231; stop 3.12% (11.3556), hedef 10.3249 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",boyut komisyon+marj nakde sığsın diye 0.9992 oranında kırpıldı
scalp_fixed,BNB-USDT-SWAP,short,2026-09-22T19:00:00+00:00,2026-09-22T23:15:00+00:00,786.50655,790.395,8.272045598,6506.018044,797.9714286,94.83799831,1,6506.018044,7.174310839,6.522094351,0,-39.33974654,signal,"RSI(2) aşırılık dönüşü: RSI=100.00 (≥ 95); aralık rejimi doğrulandı: |EMA20−EMA50|/kapanış=0.079% < 0.200%; engel Bollinger(20) orta bandı 787.185; stop 1.41% (797.971), hedef 764.757 (2.00R), zaman stop'u 16 bar | arm=rsi2_reversal | post_r=nan",exit_rule=time_stop
