ts,cash,margin_used,unrealized_pnl,equity,open_positions
2026-09-20T12:15:00+00:00,10000,0,0,10000,0
2026-09-20T12:30:00+00:00,10000,0,0,10000,0
2026-09-20T12:45:00+00:00,10000,0,0,10000,0
2026-09-20T13:00:00+00:00,10000,0,0,10000,0
2026-09-20T13:15:00+00:00,10000,0,0,10000,0
2026-09-20T13:30:00+00:00,10000,0,0,10000,0
2026-09-20T13:45:00+00:00,10000,0,0,10000,0
2026-09-20T14:00:00+00:00,10000,0,0,10000,0
2026-09-20T14:15:00+00:00,10000,0,0,10000,0
2026-09-20T14:30:00+00:00,10000,0,0,10000,0
2026-09-20T14:45:00+00:00,10000,0,0,10000,0
2026-09-20T15:00:00+00:00,10000,0,0,10000,0
2026-09-20T15:15:00+00:00,10000,0,0,10000,0
2026-09-20T15:30:00+00:00,10000,0,0,10000,0
2026-09-20T15:45:00+00:00,10000,0,0,10000,0
2026-09-20T16:00:00+00:00,10000,0,0,10000,0
2026-09-20T16:15:00+00:00,8188.181205,1810.822842,24.92783698,10023.93188,1
2026-09-20T16:30:00+00:00,8188.181205,1810.822842,8.721601983,10007.72565,1
2026-09-20T16:45:00+00:00,8188.181205,1810.822842,-2.349984304,9996.654063,1
2026-09-20T17:00:00+00:00,6446.718742,3551.328028,80.41164448,10078.45841,2
2026-09-20T17:15:00+00:00,3932.976821,6063.68815,99.72727997,10096.39225,3
2026-09-20T17:30:00+00:00,3932.976821,6063.68815,69.9606407,10066.62561,3
2026-09-20T17:45:00+00:00,3932.976821,6063.68815,141.8407224,10138.50569,3
2026-09-20T18:00:00+00:00,3932.976821,6063.68815,115.9538013,10112.61877,3
2026-09-20T18:15:00+00:00,3932.976821,6063.68815,111.0416183,10107.70659,3
2026-09-20T18:30:00+00:00,3932.976821,6063.68815,160.5386589,10157.20363,3
2026-09-20T18:45:00+00:00,3932.976821,6063.68815,187.122855,10183.78783,3
2026-09-20T19:00:00+00:00,3932.976821,6063.68815,167.7744026,10164.43937,3
2026-09-20T19:15:00+00:00,3932.976821,6063.68815,198.7696077,10195.43458,3
2026-09-20T19:30:00+00:00,3932.976821,6063.68815,123.9470571,10120.61203,3
2026-09-20T19:45:00+00:00,3932.976821,6063.68815,118.0049454,10114.66992,3
2026-09-20T20:00:00+00:00,3932.976821,6063.68815,89.67701781,10086.34199,3
2026-09-20T20:15:00+00:00,3932.976821,6063.68815,73.39962544,10070.0646,3
2026-09-20T20:30:00+00:00,5737.77846,4252.865308,48.99596675,10039.63973,2
2026-09-20T20:45:00+00:00,5737.77846,4252.865308,64.21785431,10054.86162,2
2026-09-20T21:00:00+00:00,5737.77846,4252.865308,116.2472166,10106.89098,2
2026-09-20T21:15:00+00:00,7523.163271,2512.360122,51.7377784,10087.26117,1
2026-09-20T21:30:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-20T21:45:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-20T22:00:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-20T22:15:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-20T22:30:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-20T22:45:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-20T23:00:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-20T23:15:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-20T23:30:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-20T23:45:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T00:00:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T00:15:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T00:30:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T00:45:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T01:00:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T01:15:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T01:30:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T01:45:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T02:00:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T02:15:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T02:30:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T02:45:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T03:00:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T03:15:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T03:30:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T03:45:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T04:00:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T04:15:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T04:30:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T04:45:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T05:00:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T05:15:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T05:30:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T05:45:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T06:00:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T06:15:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T06:30:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T06:45:00+00:00,10084.95605,0,0,10084.95605,0
2026-09-21T07:00:00+00:00,10084.95605,0,0,10084.95605,0
